lat,lon,hieight,disturbancePotential,geoidHeight,gravityAnomal,gravityDisturbance
20.0833,121,0,221.631,22.6194,-74.4373,-67.4848
20.0833,121.083,0,227.351,23.2031,-69.9259,-62.794
20.0833,121.167,0,234.675,23.9506,-58.9108,-51.5491
20.0833,121.25,0,243.437,24.8448,-41.5789,-33.9424
20.0833,121.333,0,253.274,25.8488,-19.0065,-11.0614
20.0833,121.417,0,263.663,26.9091,6.94231,15.2133
20.0833,121.5,0,273.97,27.961,33.8472,42.4415
20.0833,121.583,0,283.522,28.9359,59.0552,67.9491
20.0833,121.667,0,291.696,29.7701,80.0432,89.1935
20.0833,121.75,0,297.984,30.4119,94.7613,104.109
20.0833,121.833,0,302.061,30.8279,101.901,111.376
20.0833,121.917,0,303.814,31.0068,101.048,110.578
20.0833,122,0,303.35,30.9595,92.6993,102.215
20.0833,122.083,0,300.976,30.7172,78.1531,87.5945
20.0833,122.167,0,297.148,30.3265,59.2851,68.6064
20.0833,122.25,0,292.409,29.8429,38.2662,47.439
20.0833,122.333,0,287.327,29.3242,17.2614,26.2747
20.0833,122.417,0,282.424,28.8239,-1.8394,7.02009
20.0833,122.5,0,278.134,28.3859,-17.62,-8.8951
20.0833,122.583,0,274.763,28.0419,-29.2434,-20.6243
20.0833,122.667,0,272.486,27.8095,-36.4601,-27.9124
20.0833,122.75,0,271.348,27.6934,-39.5303,-31.0183
20.0833,122.833,0,271.292,27.6877,-39.0859,-30.5757
20.0833,122.917,0,272.186,27.7789,-35.9651,-27.4268
20.0833,123,0,273.856,27.9493,-31.0507,-22.46
20.0833,123.083,0,276.119,28.1803,-25.1399,-16.4782
20.0833,123.167,0,278.804,28.4543,-18.8621,-10.1162
20.0833,123.25,0,281.762,28.7563,-12.6487,-3.80995
20.0833,123.333,0,284.876,29.0741,-6.7491,2.1873
20.0833,123.417,0,288.054,29.3984,-1.27909,7.757
20.0833,123.5,0,291.223,29.7219,3.71802,12.8535
20.0833,123.583,0,294.324,30.0384,8.21382,17.4466
20.0833,123.667,0,297.303,30.3423,12.155,21.4812
20.0833,123.75,0,300.109,30.6287,15.4479,24.8621
20.0833,123.833,0,302.696,30.8927,17.9674,27.4628
20.0833,123.917,0,305.025,31.1304,19.5837,29.1522
20.0833,124,0,307.07,31.3392,20.1978,29.8304
20.0833,124.083,0,308.823,31.5181,19.7739,29.4615
20.0833,124.167,0,310.295,31.6682,18.3618,28.0956
20.0833,124.25,0,311.516,31.7929,16.1023,25.8744
20.0833,124.333,0,312.537,31.8971,13.2166,23.0207
20.0833,124.417,0,313.42,31.9872,9.98113,19.8129
20.0833,124.5,0,314.233,32.0702,6.69578,16.5531
20.0833,124.583,0,315.046,32.1531,3.64996,13.5328
20.0833,124.667,0,315.919,32.2423,1.09374,11.004
20.0833,124.75,0,316.906,32.343,-0.782986,9.15817
