# BGI DATA EXTRACTION
# REQUEST : latitude =38.30000000/41.80000000  longitude =-84.90000000/-80.50000000  country=102
# source	lat(deg)	long(deg)	alt(m) 	g(mgal)
31020015 39.16510000 -84.71990000 151.9 980016.14
31020552 40.32290000 -84.71860000 324.9 980102.01
31020036 41.71990000 -84.71660000 303.3 980222.93
31020566 39.31980000 -84.71610000 191.4 980051.63
31020552 39.71380000 -84.71330000 351.7 980026.55
31020552 39.69210000 -84.71280000 335.6 980033.37
31020566 39.43440000 -84.71260000 267.6 980059.08
31020566 39.19440000 -84.71240000 274.9 979997.53
31020329 39.84160000 -84.71160000 349.0 980031.02
31020566 41.57130000 -84.71130000 266.4 980224.50
31020015 40.33760000 -84.70990000 322.0 980104.51
31020552 40.27940000 -84.70910000 314.5 980099.46
31020552 40.38830000 -84.70880000 298.7 980116.05
31020015 40.42140000 -84.70830000 296.8 980119.00
31020015 40.45090000 -84.70830000 293.6 980124.13
31020363 38.37830000 -84.70830000 285.0 979914.30
31020552 40.56740000 -84.70830000 271.0 980146.42
31020552 40.58910000 -84.70830000 264.0 980150.64
31020566 41.65740000 -84.70830000 286.5 980224.25
31020552 40.45040000 -84.70790000 292.9 980123.85
31020552 40.47940000 -84.70790000 279.8 980131.76
31020552 40.50880000 -84.70790000 271.9 980139.18
31020552 40.53790000 -84.70790000 265.2 980145.07
31020552 40.42110000 -84.70780000 296.6 980118.98
31020015 40.85140000 -84.70660000 245.6 980180.89
31020015 40.88740000 -84.70660000 240.3 980182.68
31020015 40.93130000 -84.70660000 237.4 980186.43
31020015 40.98910000 -84.70660000 231.3 980192.40
31020552 39.72880000 -84.70610000 346.0 980026.27
31020015 39.47230000 -84.70490000 262.3 980063.60
31020552 39.90910000 -84.70490000 358.1 980037.02
31020552 39.76540000 -84.70360000 341.1 980027.18
31020552 39.85780000 -84.70360000 356.0 980031.73
31020552 39.60380000 -84.70330000 329.5 980051.32
31020552 39.63940000 -84.70330000 327.0 980045.33
31020552 39.54610000 -84.70290000 282.5 980061.94
31020552 40.35990000 -84.70040000 315.2 980108.58
31020552 39.81660000 -84.69990000 348.6 980029.13
31020552 39.84210000 -84.69690000 348.1 980032.10
31020015 39.84280000 -84.69660000 348.2 980032.14
31020552 40.33780000 -84.69360000 314.9 980105.66
31020015 39.70640000 -84.69330000 324.6 980033.36
31020566 39.11240000 -84.69240000 155.4 980005.67
31020552 40.36630000 -84.69080000 306.3 980110.99
31020552 40.52330000 -84.68880000 265.5 980141.76
31020552 40.55990000 -84.68880000 274.3 980144.99
31020552 40.46530000 -84.68860000 284.7 980126.31
31020552 40.42860000 -84.68780000 307.8 980117.08
31020552 39.61110000 -84.68660000 314.5 980052.65
31020552 39.58210000 -84.68610000 320.7 980054.59
31020015 39.58210000 -84.68490000 321.3 980054.80
31020015 39.27540000 -84.68330000 162.2 980044.56
31020552 39.79490000 -84.67960000 335.0 980030.22
31020015 41.20880000 -84.67490000 221.4 980208.84
31020048 41.08330000 -84.67160000 225.4 980203.40
31020552 40.23580000 -84.67160000 305.4 980099.42
31020552 39.52330000 -84.67130000 243.5 980068.59
31020363 38.58160000 -84.66990000 264.6 979941.10
31020015 40.52410000 -84.66660000 267.2 980139.67
31020015 40.61160000 -84.66660000 260.0 980154.30
31020552 40.50880000 -84.66660000 271.6 980136.26
31020552 40.58910000 -84.66660000 264.0 980151.24
31020552 40.63290000 -84.66660000 255.1 980158.55
31020566 39.15340000 -84.66660000 275.5 979989.62
31020566 39.18790000 -84.66560000 241.7 980002.53
31020566 39.47110000 -84.66540000 251.2 980064.29
31020552 40.32290000 -84.66530000 312.1 980106.93
31020015 39.39710000 -84.66330000 198.4 980066.16
31020015 40.00510000 -84.66330000 332.6 980055.39
31020015 40.71330000 -84.66330000 248.7 980169.87
31020552 40.36630000 -84.66190000 295.3 980113.22
31020363 39.05490000 -84.66160000 259.1 979978.30
31020015 39.56260000 -84.65990000 232.3 980070.30
31020552 40.54530000 -84.65710000 261.8 980144.03
31020552 39.76990000 -84.65410000 323.7 980031.60
